date,OpenInterest,glassnode_f4,wavelet_clf,condition_BBW,condition_Vol,strat_BB,strat_MACD,strat_HH_LL,combine_strat_cond,HMM_detected_regime,fng_classification
2021-04-01 00:00:00,10.533728208558303,0.0,1,1,1,0,1,0,0,0,1.0
2021-04-01 01:00:00,10.533728208558303,0.0,1,1,1,0,1,0,0,0,1.0
2021-04-01 02:00:00,10.533728208558303,0.0,1,1,1,0,1,0,0,0,1.0
2021-04-01 03:00:00,10.533728208558303,0.0,1,1,1,0,0,0,0,0,1.0
2021-04-01 04:00:00,10.533728208558303,0.0,1,1,1,0,0,0,0,0,1.0
2021-04-01 05:00:00,10.533728208558303,0.0,1,1,1,0,-1,0,0,0,1.0
2021-04-01 06:00:00,10.533728208558303,0.0,1,1,1,0,-1,0,0,0,1.0
2021-04-01 07:00:00,10.533728208558303,0.0,1,1,1,0,-1,0,0,0,1.0
2021-04-01 08:00:00,10.533728208558303,0.0,1,1,1,0,-1,0,0,0,1.0
2021-04-01 09:00:00,10.533728208558303,0.0,1,0,1,0,-1,0,0,0,1.0
2021-04-01 10:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 11:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 12:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 13:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 14:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 15:00:00,10.533728208558303,0.0,1,0,0,0,0,0,0,0,1.0
2021-04-01 16:00:00,10.533728208558303,0.0,1,0,0,0,0,0,0,0,1.0
2021-04-01 17:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 18:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 19:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 20:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 21:00:00,10.533728208558303,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-01 22:00:00,10.533728208558303,0.0,1,0,0,0,1,0,0,0,1.0
2021-04-01 23:00:00,10.533728208558303,0.0,1,0,0,0,1,0,0,0,1.0
2021-04-02 00:00:00,10.652913362246222,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-02 01:00:00,10.652913362246222,0.0,1,0,0,0,-1,0,0,0,1.0
2021-04-02 02:00:00,10.652913362246222,0.0,1,0,0,1,1,0,0,0,1.0
