,XRP-USD,TRX-USD,ETC-USD,BCH-USD,EOS-USD,ADA-USD,BNT-USD,LTC-USD,DOGE-USD,BAT-USD
2020-04-06 23:00:00+00:00,0.1955060213804245,0.013658220879733562,5.566810131072998,255.9195098876953,2.7312567234039307,0.03561633452773094,0.19622090458869934,44.39112091064453,0.0019800991285592318,0.16019852459430695
2020-04-07 00:00:00+00:00,0.2002367377281189,0.013798884116113186,5.6605610847473145,256.6430969238281,2.756998062133789,0.03609106317162514,0.1986343413591385,45.3147087097168,0.001995992148295045,0.1633218228816986
2020-04-07 01:00:00+00:00,0.19960397481918335,0.013750137761235237,5.659617900848389,256.7080993652344,2.7491607666015625,0.03623626008629799,0.19731029868125916,45.57663345336914,0.0020129589829593897,0.16290368139743805
2020-04-07 02:00:00+00:00,0.19701941311359406,0.013550963252782822,5.561946868896484,254.98582458496094,2.7128746509552,0.03574643284082413,0.19593645632266998,45.07612991333008,0.0019868798553943634,0.1621389538049698
2020-04-07 03:00:00+00:00,0.19786448776721954,0.013595692813396454,5.555478572845459,256.1807861328125,2.722860097885132,0.035924557596445084,0.1962256282567978,45.45500564575195,0.001980372704565525,0.16433404386043549
2020-04-07 04:00:00+00:00,0.1962759792804718,0.013524475507438183,5.552724361419678,254.23068237304688,2.701718330383301,0.0357523038983345,0.1948457807302475,45.22346878051758,0.0019787680357694626,0.16243737936019897
2020-04-07 05:00:00+00:00,0.19792455434799194,0.013591470196843147,5.577313423156738,255.4619903564453,2.7227818965911865,0.035704124718904495,0.19519342482089996,45.58428955078125,0.0019967418629676104,0.1632726490497589
2020-04-07 06:00:00+00:00,0.19691072404384613,0.013634221628308296,5.580955982208252,255.4542999267578,2.760514736175537,0.035708989948034286,0.19522522389888763,45.579742431640625,0.001986862625926733,0.16301940381526947
2020-04-07 07:00:00+00:00,0.20028577744960785,0.013820236548781395,5.650473117828369,258.08270263671875,2.7743701934814453,0.03633471205830574,0.19815102219581604,46.12236404418945,0.0020136781968176365,0.16475218534469604
2020-04-07 08:00:00+00:00,0.2004561871290207,0.013759204186499119,5.641864776611328,257.70001220703125,2.7637665271759033,0.03624526783823967,0.19764280319213867,46.16670608520508,0.0020030499435961246,0.16588571667671204
2020-04-07 09:00:00+00:00,0.20092320442199707,0.013818550854921341,5.655025005340576,258.5861511230469,2.76853084564209,0.03637677803635597,0.1982627958059311,46.251251220703125,0.002010488184168935,0.16741883754730225
2020-04-07 10:00:00+00:00,0.20328308641910553,0.013889133930206299,5.796996116638184,261.31787109375,2.7821013927459717,0.03676595911383629,0.1999266892671585,46.556114196777344,0.002014937112107873,0.16796721518039703
2020-04-07 11:00:00+00:00,0.20217680931091309,0.01386963203549385,5.737246513366699,258.9070739746094,2.763932704925537,0.03624614328145981,0.19745180010795593,46.34016418457031,0.0020137340761721134,0.16957873106002808
2020-04-07 12:00:00+00:00,0.20149271190166473,0.013800092972815037,5.681910991668701,258.6973571777344,2.7434303760528564,0.03595780208706856,0.19798049330711365,46.19736862182617,0.002016029553487897,0.16798996925354004
2020-04-07 13:00:00+00:00,0.20197831094264984,0.013829092495143414,5.706326484680176,259.1970520019531,2.7433676719665527,0.03621150925755501,0.198289155960083,46.72370147705078,0.002007418777793646,0.16782210767269135
2020-04-07 14:00:00+00:00,0.1981036514043808,0.013662243261933327,5.608293533325195,255.48300170898438,2.708219051361084,0.03551347553730011,0.19525286555290222,45.96187210083008,0.0019809508230537176,0.16558732092380524
2020-04-07 15:00:00+00:00,0.20036616921424866,0.013763770461082458,5.638262748718262,257.5162353515625,2.726472854614258,0.03585473448038101,0.19557034969329834,46.406883239746094,0.0020046865101903677,0.16611629724502563
2020-04-07 16:00:00+00:00,0.20114700496196747,0.013891252689063549,5.674859523773193,259.006103515625,2.7368838787078857,0.03620214760303497,0.19745905697345734,46.568817138671875,0.001992258243262768,0.16661620140075684
2020-04-07 17:00:00+00:00,0.20067846775054932,0.013822282664477825,5.700357913970947,258.3011169433594,2.729233980178833,0.03605543076992035,0.19747556746006012,46.35602951049805,0.001999493222683668,0.1663539856672287
2020-04-07 18:00:00+00:00,0.198228120803833,0.013778438791632652,5.686355113983154,257.0046081542969,2.715881109237671,0.035760536789894104,0.19600172340869904,45.996360778808594,0.0020050464663654566,0.1649501770734787
2020-04-07 19:00:00+00:00,0.19825999438762665,0.013782642781734467,5.681396961212158,257.43951416015625,2.721585273742676,0.035741545259952545,0.19522081315517426,45.91751480102539,0.0020083321724087,0.16472028195858002
2020-04-07 20:00:00+00:00,0.19244801998138428,0.013319073244929314,5.474249362945557,250.32745361328125,2.6097030639648438,0.03494753688573837,0.1901988834142685,44.487613677978516,0.0019911418203264475,0.15894074738025665
2020-04-07 21:00:00+00:00,0.19320103526115417,0.013370302505791187,5.502266883850098,250.9315948486328,2.624422073364258,0.03520167991518974,0.19045256078243256,44.565711975097656,0.0019989637657999992,0.1612299531698227
2020-04-07 22:00:00+00:00,0.1921171247959137,0.013351661153137684,5.486311912536621,250.6644744873047,2.6310465335845947,0.03515235334634781,0.19028885662555695,44.70783233642578,0.001979367807507515,0.16108112037181854
2020-04-07 23:00:00+00:00,0.19209280610084534,0.013266242109239101,5.462813854217529,252.0573272705078,2.629760980606079,0.03513690084218979,0.1907276213169098,44.667930603027344,0.0019973062444478273,0.16089418530464172
2020-04-08 00:00:00+00:00,0.1920524686574936,0.013241717591881752,5.436114311218262,252.4134063720703,2.596926689147949,0.03536204621195793,0.19120971858501434,44.44191360473633,0.001987592549994588,0.1613875776529312
