date,kernel_01,kernel_02,kernel_03,kernel_04,kernel_05,kernel_06,kernel_07,kernel_08
2020-04-07 01:00:00+00:00,0.004405967376233755,0.0037095204953518737,0.0028978106763433782,-0.0015081566998904913,-0.0006964468808818159,-0.0008117098190086635,-0.0007073944896300812,-0.0015191043086387134
2020-04-07 02:00:00+00:00,0.008847774429188236,0.005942299763065432,0.0,-0.008847774429188207,-0.0029054746661226457,-0.005942299763065461,-9.605798803075144e-05,-0.006038357751096263
2020-04-07 03:00:00+00:00,0.005106960343598208,0.0,0.001019775281854863,-0.004087185061743306,-0.005106960343598236,0.001019775281854863,-0.0001800634260916304,0.000839711855763202
2020-04-07 04:00:00+00:00,0.007645924468898083,0.006160346222662019,0.0,-0.0076459244688980976,-0.0014855782462361172,-0.006160346222662011,-0.00010656875608347457,-0.006266914978745427
2020-04-07 05:00:00+00:00,0.0042436340257316464,0.0005664172200845251,0.0035666954703420213,-0.0006769385553897878,-0.003677216805647164,0.003000278250257368,-0.0005063458051006446,0.0024939324451566367
2020-04-07 06:00:00+00:00,0.0021215811122382057,0.0,0.001292573813510225,-0.0008290072987279222,-0.002121581112238215,0.001292573813510225,-0.00023793868046645153,0.001054635133043724
2020-04-07 07:00:00+00:00,0.010894840103175707,0.0005706093832597878,0.01064927289604736,-0.0002455672071283788,-0.010324230719916047,0.010078663512787552,0.0003447878434963604,0.010423451356284056
2020-04-07 08:00:00+00:00,0.005520770258415593,0.0034616216404159714,0.00048343708870817576,-0.0050373331697074674,-0.002059148617999532,-0.002978184551707967,-0.0007944967247652651,-0.0037726812764731477
2020-04-07 09:00:00+00:00,0.0048980995204103055,0.0,0.003061221806806572,-0.00183687771360369,-0.004898099520410453,0.003061221806806572,0.001037580754453212,0.004098802561259869
2020-04-07 10:00:00+00:00,0.009076380569982192,0.0010618674373920035,0.006872240064362694,-0.0022041405056194355,-0.008014513132590259,0.005810372626970959,6.367591108012449e-05,0.0058740485380511485
2020-04-07 11:00:00+00:00,0.0065904499675852705,0.0065904499675852705,0.0,-0.0065904499675853035,0.0,-0.0065904499675853035,-0.00011016464294693558,-0.006700614610532249
2020-04-07 12:00:00+00:00,0.007285140276313784,0.006778072215321827,0.003000444495525301,-0.004284695780788694,-0.0005070680609919974,-0.003777627719796705,0.0008793207276367672,-0.0028983069921599477
2020-04-07 13:00:00+00:00,0.004053355765984441,0.0022565961366902815,0.003900816297596704,-0.00015253946838761234,-0.0017967596292940312,0.001644220160906409,-0.0003103908287984197,0.001333829332107855
2020-04-07 14:00:00+00:00,0.008972680447461898,0.00833274014624182,0.0,-0.008972680447461832,-0.0006399403012200426,-0.008332740146241783,-0.00016443313902281845,-0.00849717328526467
2020-04-07 15:00:00+00:00,0.006735868847841252,0.003830125369104306,0.006456551349054196,-0.0002793174987869682,-0.002905743478736873,0.002626425979949849,-0.0005864400649926288,0.002039985914957051
2020-04-07 16:00:00+00:00,0.005937769664396091,0.0009679024140383214,0.005622602090398101,-0.000315167573997994,-0.004969867250357751,0.004654699676359775,-0.0007707559926171265,0.003883943683742644
2020-04-07 17:00:00+00:00,0.004383269008892247,0.0017902071670924452,0.0003707418060562311,-0.004012527202835909,-0.0025930618417997838,-0.0014194653610361267,0.000144343846716016,-0.0012751215143200093
2020-04-07 18:00:00+00:00,0.005153989333187336,0.005153989333187336,0.0017894170400149048,-0.0033645722931723143,0.0,-0.0033645722931723143,-0.0002274907642066275,-0.003592063057378901
2020-04-07 19:00:00+00:00,0.0046504741027003325,0.004410058775549511,0.004356559364714954,-0.0002939147379853002,-0.00024041532715073256,-5.349941083468494e-05,0.0008722437495248616,0.0008187443386903663
2020-04-07 20:00:00+00:00,0.020960194033711015,0.020888678378098286,0.0001310564882406553,-0.02082913754547042,-7.151565561277121e-05,-0.020757621889857653,-0.0006476968038024152,-0.021405318693660098
2020-04-07 21:00:00+00:00,0.005051876049534097,0.002178952532436933,0.0023499313195440882,-0.002701944729989977,-0.002872923517097094,0.00017097878710716578,5.991089654767877e-05,0.00023088968365466393
2020-04-07 22:00:00+00:00,0.003961511090393073,0.0032050764428922314,0.0028622195033990573,-0.0010992915869940947,-0.0007564346475008412,-0.0003428569394932975,-0.00034833364328221465,-0.0006911905827754905
2020-04-07 23:00:00+00:00,0.003961511090393073,0.0032050764428922314,0.0028622195033990573,-0.0010992915869940947,-0.0007564346475008412,-0.0003428569394932975,0.00034285693949321564,0.0
2020-04-08 00:00:00+00:00,0.002992239926229815,0.0006505956465413849,0.0002532350140220268,-0.0027390049122078576,-0.0023416442796884733,-0.00039736063251938494,0.0035425507111309694,0.0031451900786115586
2020-04-08 01:00:00+00:00,0.004264554476256705,0.004264554476256705,0.0018939828031213927,-0.002370571673135276,0.0,-0.002370571673135276,-0.0006342669723575712,-0.003004838645492783
2020-04-08 02:00:00+00:00,0.006507382130080642,6.984919967534374e-05,0.006507382130080642,0.0,-0.006437532930405328,0.006437532930405291,6.47079365193014e-05,0.006502240866924628
2020-04-08 03:00:00+00:00,0.007935173809837588,0.0011470748460830245,0.007935173809837588,0.0,-0.0067880989637546,0.006788098963754571,0.0063059216433813915,0.01309402060713619
2020-04-08 04:00:00+00:00,0.0035837782349777744,0.0023503635148986405,0.0022933058529044075,-0.0012904723820734171,-0.0012334147200790703,-5.705766199421715e-05,0.001862802897983513,0.001805745235989231
2020-04-08 05:00:00+00:00,0.0030155748263688983,0.0,0.0030155748263688983,0.0,-0.003015574826368765,0.0030155748263688983,0.0027639532006453896,0.005779528027014288
